mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,29.759645462036133,26.948928833007812,18.567681312561035
mig,1.0,42.41061210632324,20.632505416870117,16.975879669189453
