mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,30.341768264770508,27.777671813964844,20.06361484527588
mig,1.0,42.879581451416016,20.953750610351562,17.334604263305664
