mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,27.76503562927246,21.29220962524414,14.228582382202148
mig,1.0,42.194366455078125,20.346879959106445,16.822099685668945
