mode,load,0_resnet50-2,1_squeezenet1_0-8,2_vgg13-16
mps-uncap,0.8,94.96881938131004,648.5458915500282,1312.8136316113153
mps-uncap,0.9,109.51186698681342,734.7894558228734,1451.8891195157887
mps-uncap,1.0,112.18736470537435,817.0386311069367,1633.0086943631302
mps-uncap,0.5,58.01627631685824,407.44630237902754,806.96572778584
mps-uncap,0.6,69.77518454703574,476.0358859983992,989.2765290387958
mps-uncap,0.7,80.32279720964112,556.0901749847455,1147.5137140290706
mps-uncap,0.1,11.371317564446198,77.42637625278533,174.39476067991382
mps-uncap,0.2,22.761554681702904,158.54047287840692,330.0876045537724
mps-uncap,0.3,36.718479007837104,247.59493644779894,473.9587961899723
mps-uncap,0.4,47.839614024084106,321.99022583603175,643.6737041618431
