mode,load,0_densenet161-32,1_efficientnet_b5-8,2_vgg11-32
mps-uncap,0.8,72.26777076721191,34.38758850097656,11.355876922607422
mps-uncap,0.9,103.00898551940918,52.47759819030762,12.539386749267578
mps-uncap,1.0,126.35576725006104,89.1728401184082,13.289451599121094
mps-uncap,0.5,44.071316719055176,20.329833030700684,9.999275207519531
mps-uncap,0.6,48.53212833404541,19.895076751708984,10.088562965393066
mps-uncap,0.7,64.48602676391602,28.49721908569336,10.994434356689453
mps-uncap,0.1,30.250072479248047,22.810935974121094,9.935140609741211
mps-uncap,0.2,33.215880393981934,21.773338317871094,9.940862655639648
mps-uncap,0.3,35.68005561828613,22.235393524169922,9.95945930480957
mps-uncap,0.4,40.36450386047363,22.104978561401367,9.97018814086914
