mode,load,0_densenet161-32,1_efficientnet_b5-8,2_vgg11-32
mps-uncap,0.8,130.24443864822388,88.78976821899414,16.963372230529785
mps-uncap,0.9,132.72864818572995,96.53901100158691,17.38924980163575
mps-uncap,1.0,134.04982089996338,97.86236763000488,17.70486831665039
mps-uncap,0.5,108.2088947296142,65.45229434967044,15.708823204040527
mps-uncap,0.6,106.10048294067384,75.33682346343984,16.195964813232422
mps-uncap,0.7,127.88495063781738,91.3977599143982,16.5352201461792
mps-uncap,0.1,56.7245101928711,37.07079887390137,12.51611232757569
mps-uncap,0.2,53.486847877502434,35.010609626770005,15.384764671325685
mps-uncap,0.3,75.12206077575688,48.799490928649924,15.39830207824707
mps-uncap,0.4,80.95246315002441,55.143575668335,15.75529098510742
