mode,load,0_efficientnet_b5-4,1_efficientnet_b6-16,2_resnet34-16
mps-uncap,0.8,25.476980209350586,31.101369857788086,10.798192024230955
mps-uncap,0.9,26.122355461120605,31.679511070251465,11.026883125305178
mps-uncap,1.0,26.666736602783203,32.29525089263916,11.436605453491213
mps-uncap,0.5,22.526121139526367,26.998424530029297,9.398508071899414
mps-uncap,0.6,23.198533058166507,28.0771017074585,10.069799423217773
mps-uncap,0.7,24.181795120239258,28.830289840698242,10.479450225830078
mps-uncap,0.1,23.240113258361816,25.983953475952152,5.954289436340333
mps-uncap,0.2,23.92101287841797,25.330591201782227,6.9796562194824245
mps-uncap,0.3,23.835420608520508,24.973630905151367,7.931804656982424
mps-uncap,0.4,22.210240364074707,26.010656356811523,8.086538314819334
