mode,load,0_efficientnet_b5-4,1_efficientnet_b6-16,2_resnet34-16
mps-uncap,0.8,124.62756670857235,423.6960068008099,1285.1552765069982
mps-uncap,0.9,141.24120821857326,463.2119633496376,1460.2623256853092
mps-uncap,1.0,153.8839321347179,509.17060132261366,1616.3681394017258
mps-uncap,0.5,74.86358885359127,260.5025295868771,781.8788304844677
mps-uncap,0.6,92.87658186862046,294.75614174771897,951.4069251114754
mps-uncap,0.7,106.37632791889867,370.288879345076,1160.7772588667713
mps-uncap,0.1,15.088991769006876,56.35447908383254,152.94622078382466
mps-uncap,0.2,29.910455193095732,104.03921071590399,311.35094885283496
mps-uncap,0.3,45.36357713653624,157.9450360151947,495.8658453752936
mps-uncap,0.4,62.26269083024738,196.75498070475356,634.3451406041021
