mode,load,0_efficientnet_b5-4,1_efficientnet_b6-16,2_resnet34-16
mps-uncap,0.8,47.166776657104506,90.4120683670044,18.689393997192376
mps-uncap,0.9,102.12609767913814,191.0256624221802,30.247664451599128
mps-uncap,1.0,396.45223617553717,881.1470031738282,104.42156791687017
mps-uncap,0.5,13.40084075927734,23.032879829406745,5.331134796142578
mps-uncap,0.6,15.365171432495119,30.499482154846195,7.662343978881836
mps-uncap,0.7,21.43197059631347,43.87404918670658,12.069463729858398
mps-uncap,0.1,0.0732421875,0.07073879241943361,0.06825923919677734
mps-uncap,0.2,7.170319557189941,13.678455352783221,0.09343624114990297
mps-uncap,0.3,10.806798934936523,14.761686325073242,2.6485443115234393
mps-uncap,0.4,11.988639831542969,19.577980041503906,4.155921936035155
