mode,load,0_efficientnet_b5-4,1_efficientnet_b6-16,2_resnet34-16
mps-uncap,0.8,25.0701904296875,47.219038009643555,10.580301284790039
mps-uncap,0.9,38.665175437927246,64.4083023071289,13.781428337097168
mps-uncap,1.0,138.23819160461426,352.98919677734375,35.69626808166504
mps-uncap,0.5,17.877817153930664,24.91939067840576,5.687952041625977
mps-uncap,0.6,17.39788055419922,26.37636661529541,6.912589073181152
mps-uncap,0.7,20.890474319458008,30.025362968444824,8.42738151550293
mps-uncap,0.1,21.4003324508667,23.912906646728516,5.111336708068848
mps-uncap,0.2,21.674633026123047,22.49002456665039,5.02169132232666
mps-uncap,0.3,19.284486770629883,22.255659103393555,5.128622055053711
mps-uncap,0.4,16.904115676879883,23.724079132080078,5.35893440246582
