mode,load,0_mobilenet_v3_large-8,1_resnet34-8,2_squeezenet1_0-4
mps-uncap,0.8,2.856731414794922,2.546548843383789,1.1754035949707031
mps-uncap,0.9,2.8471946716308594,2.525806427001953,1.1780261993408203
mps-uncap,1.0,2.819061279296875,2.5644302368164062,1.1706352233886719
mps-uncap,0.5,2.846240997314453,2.547740936279297,1.1632442474365234
mps-uncap,0.6,2.927541732788086,2.523183822631836,1.1768341064453125
mps-uncap,0.7,2.8312206268310547,2.5162696838378906,1.1630058288574219
mps-uncap,0.1,2.819538116455078,2.5255680084228516,1.1658668518066406
mps-uncap,0.2,2.7761459350585938,2.5527477264404297,1.16729736328125
mps-uncap,0.3,2.8150081634521484,2.541780471801758,1.165628433227539
mps-uncap,0.4,2.755403518676758,2.5429725646972656,1.1649131774902344
