mode,load,0_mobilenet_v3_large-8,1_resnet34-8,2_squeezenet1_0-4
mps-uncap,0.8,71.6550350189209,39.83187675476074,25.530099868774414
mps-uncap,0.9,81.04729652404785,76.58958435058594,39.01863098144531
mps-uncap,1.0,140.51318168640137,399.2598056793213,79.25820350646973
mps-uncap,0.5,35.23755073547363,26.43561363220215,14.635562896728516
mps-uncap,0.6,30.220985412597656,24.01900291442871,14.679193496704102
mps-uncap,0.7,36.75961494445801,30.514240264892578,343.94311904907227
mps-uncap,0.1,22.670507431030273,12.443780899047852,7.624626159667969
mps-uncap,0.2,25.188684463500977,20.957231521606445,7.981300354003906
mps-uncap,0.3,32.938480377197266,24.99532699584961,10.29658317565918
mps-uncap,0.4,30.76910972595215,23.569583892822266,13.315200805664062
