mode,load,0_mobilenet_v3_large-8,1_resnet34-8,2_squeezenet1_0-4
mps-uncap,0.8,2.4073123931884766,2.0470619201660156,0.885009765625
mps-uncap,0.9,5.319356918334961,4.839658737182617,2.1920204162597656
mps-uncap,1.0,20.90620994567871,27.97245979309082,9.11569595336914
mps-uncap,0.5,0.32258033752441406,0.044345855712890625,0.03981590270996094
mps-uncap,0.6,0.7624626159667969,0.04863739013671875,0.0457763671875
mps-uncap,0.7,1.5034675598144531,0.6175041198730469,0.3033876419067383
mps-uncap,0.1,0.051021575927734375,0.051021575927734375,0.04363059997558594
mps-uncap,0.2,0.04839897155761719,0.04863739013671875,0.041484832763671875
mps-uncap,0.3,0.045299530029296875,0.04744529724121094,0.040531158447265625
mps-uncap,0.4,0.04363059997558594,0.049114227294921875,0.04363059997558594
