mode,load,0_mobilenet_v3_large-8,1_resnet34-8,2_squeezenet1_0-4
mps-uncap,0.8,5.542278289794922,5.856037139892578,2.6023387908935547
mps-uncap,0.9,8.575677871704102,9.026288986206055,4.137992858886719
mps-uncap,1.0,24.277806282043457,32.57608413696289,11.200666427612305
mps-uncap,0.5,4.93168830871582,4.819989204406738,2.3326873779296875
mps-uncap,0.6,4.455327987670898,4.785895347595215,2.3844242095947266
mps-uncap,0.7,4.718303680419922,4.589557647705078,2.246260643005371
mps-uncap,0.1,7.244110107421875,5.052804946899414,2.571582794189453
mps-uncap,0.2,7.163882255554199,4.94694709777832,2.538442611694336
mps-uncap,0.3,6.572961807250977,4.972696304321289,2.4764537811279297
mps-uncap,0.4,5.424261093139648,5.453348159790039,2.6166439056396484
