mode,load,0_mobilenet_v3_large-8,1_resnet34-8,2_squeezenet1_0-4
mps-uncap,0.8,23.237724304199215,26.090011596679645,11.706905364990238
mps-uncap,0.9,56.24880790710451,48.973360061645515,23.593506813049302
mps-uncap,1.0,105.64817905426023,358.85717391967773,62.57959842681885
mps-uncap,0.5,18.46440792083743,16.710174083709713,8.627116680145264
mps-uncap,0.6,15.9056043624878,16.87936544418335,8.96646499633788
mps-uncap,0.7,19.280624389648427,17.736186981201122,8.754708766937254
mps-uncap,0.1,16.70774459838866,9.747200012207005,4.89497184753418
mps-uncap,0.2,19.440066814422607,11.997432708740241,5.597143173217775
mps-uncap,0.3,19.41046714782714,13.30788135528565,6.293320655822753
mps-uncap,0.4,18.78651618957518,15.836114883422823,8.025522232055664
