mode,load,0_mobilenet_v3_large-8,1_resnet34-8,2_squeezenet1_0-4
mps-uncap,0.8,1749.8797403390458,1307.5616526342844,1418.0473746534403
mps-uncap,0.9,2035.063178263537,1509.2954600655341,1607.2872286854358
mps-uncap,1.0,2214.0614876118025,1653.8924323607032,1775.543124406244
mps-uncap,0.5,1086.9305417628684,849.2338986592829,891.3266890457141
mps-uncap,0.6,1325.5529218238912,993.6588435882284,1072.3350721398294
mps-uncap,0.7,1551.660477790563,1170.980865442282,1246.689352409815
mps-uncap,0.1,219.6855365968761,170.35650120856454,181.6661801383713
mps-uncap,0.2,438.9899950898718,339.23627460643723,358.61761887794876
mps-uncap,0.3,678.0085388681576,487.87355070162926,533.3656100892258
mps-uncap,0.4,866.58886160563,660.18452904678,712.8409312061149
