mode,load,0_mobilenet_v3_large-8,1_resnet34-8,2_squeezenet1_0-4
mps-uncap,0.8,3.121614456176758,3.94439697265625,1.8012523651123047
mps-uncap,0.9,3.278970718383789,4.390239715576172,1.9791126251220703
mps-uncap,1.0,3.4575462341308594,4.628181457519531,2.111196517944336
mps-uncap,0.5,3.2438039779663086,4.485368728637695,1.8395185470581055
mps-uncap,0.6,3.132343292236328,4.009246826171875,1.7955303192138672
mps-uncap,0.7,3.077268600463867,3.676891326904297,1.721501350402832
mps-uncap,0.1,7.002115249633789,4.91786003112793,2.47955322265625
mps-uncap,0.2,6.74128532409668,4.756689071655273,2.431631088256836
mps-uncap,0.3,4.786252975463867,4.733800888061523,2.2879838943481445
mps-uncap,0.4,4.478216171264648,4.910945892333984,2.3679733276367188
