mode,load,0_densenet201-8,1_mobilenet_v3_large-16,2_vgg13-16
mps-uncap,0.8,83.29440328680965,734.7660271746644,1309.3857769369947
mps-uncap,0.9,90.63161355981883,849.2381630112068,1492.6751382350596
mps-uncap,1.0,99.60927587144089,919.7533343204123,1469.8986331697315
mps-uncap,0.5,50.13382154446782,462.36188242680356,832.45638120001
mps-uncap,0.6,63.88949786120667,569.3126137771703,955.0234297438961
mps-uncap,0.7,68.25673795067478,659.0371609666146,1164.9207590577582
mps-uncap,0.1,11.441389186744715,87.84401626466799,165.5971175220992
mps-uncap,0.2,20.170847306761072,196.33014506498898,330.1079390481142
mps-uncap,0.3,31.101083422178434,274.24099124364017,485.99515485929214
mps-uncap,0.4,40.71904824884934,357.566181889053,662.9103942441368
