mode,load,0_densenet201-8,1_mobilenet_v3_large-16,2_vgg13-16
mps-uncap,0.8,20.255565643310547,4.870891571044922,8.465766906738281
mps-uncap,0.9,21.282672882080078,4.888057708740234,8.92949104309082
mps-uncap,1.0,20.47133445739746,9.163856506347656,8.857488632202148
mps-uncap,0.5,20.527362823486328,4.831552505493164,8.468866348266602
mps-uncap,0.6,20.380735397338867,4.761695861816406,8.465290069580078
mps-uncap,0.7,20.739078521728516,4.822015762329102,8.535623550415039
mps-uncap,0.1,21.312713623046875,4.813194274902344,8.634328842163086
mps-uncap,0.2,20.80535888671875,4.866123199462891,8.571624755859375
mps-uncap,0.3,20.345449447631836,4.89354133605957,8.569955825805664
mps-uncap,0.4,20.196914672851562,4.797697067260742,8.538484573364258
