mode,load,0_efficientnet_b7-2,1_vgg11-4,2_vgg19-8
mps-uncap,0.8,27.79008809344157,606.2877730403592,671.6697531507332
mps-uncap,0.9,32.38466077548222,659.0292153247142,750.0508505803346
mps-uncap,1.0,36.28906292841044,764.6776633185459,837.4737383824965
mps-uncap,0.5,18.33183177967119,376.12558714618086,418.7291252667968
mps-uncap,0.6,22.226876123003862,448.9886014813346,495.6512830198998
mps-uncap,0.7,26.82690420728794,528.5894719780061,579.0337621626469
mps-uncap,0.1,3.9338707923517857,78.6756370522723,83.5516517901083
mps-uncap,0.2,7.31460091470694,150.40842860132395,163.76528499648464
mps-uncap,0.3,11.682093810921458,222.29028794381531,247.99153047945217
mps-uncap,0.4,14.925821440706034,304.081352788618,336.76299799118556
