m1,b1,m2,b2,mode,load,tput_m1,tput_m2,total_p90_m1,total_p90_m2,total_p99_m1,total_p99_m2,total_p100_m1,total_p100_m2,slo_m1,slo_violation_m1,slo_m2,slo_violation_m2,slo_violation_no,job_mix
vgg11,4,vgg19,8,mps-uncap,1.0,885.7021641479955,885.9043858468347,5.075883865356446,9.10019874572754,5.257482528686523,9.232547283172607,7.238388061523437,11.228322982788086,"[4.9076080322265625, 14.774084091186523]",0,"[25.303125381469727, 86.88945770263673]",0,0,vgg11-4-vgg19-8
vgg11,8,vgg19,4,mps-uncap,1.0,1654.4373155300914,493.9452593046557,5.236148834228516,8.458852767944336,5.310549736022949,8.658621311187744,6.094694137573242,10.14995574951172,"[10.160207748413086, 29.346108436584476]",0,"[11.4821195602417, 31.886911392211918]",0,0,vgg11-8-vgg19-4
vgg11,32,vgg19,2,mps-uncap,1.0,2761.075011411964,172.56431516284866,11.740446090698242,12.62974739074707,11.859371662139893,13.273594379425049,14.624834060668944,14.62244987487793,"[40.741920471191406, 130.5216789245609]",0,"[6.924629211425781, 17.524337768554688]",0,0,vgg11-32-vgg19-2
vgg11,4,vgg19,4,mps-uncap,1.0,1147.037114873681,652.5714207876405,3.858327865600586,6.480884552001953,4.047145843505861,6.6884803771972665,5.161046981811523,7.479667663574219,"[4.9076080322265625, 14.774084091186523]",0,"[11.4821195602417, 31.886911392211918]",0,0,vgg11-4-vgg19-4
vgg11,2,vgg19,2,mps-uncap,1.0,852.9604495441293,563.0511338838369,2.576112747192383,3.750801086425781,2.830171585083008,4.065177440643311,3.822565078735352,4.751920700073242,"[4.491686820983887, 12.486314773559576]",0,"[6.924629211425781, 17.524337768554688]",0,0,vgg11-2-vgg19-2
vgg11,2,vgg19,32,mps-uncap,1.0,250.83781286753165,1338.0109954467043,13.828563690185549,24.092674255371094,14.36640739440918,24.25708770751953,16.17121696472168,25.50649642944336,"[4.491686820983887, 12.486314773559576]",1,"[69.72730159759521, 184.2193603515625]",0,1,vgg11-2-vgg19-32
densenet201,2,resnet34,2,mps-uncap,1.0,164.05369677840986,1027.6718696221456,12.273931503295898,1.9724369049072263,12.689347267150875,2.0368099212646484,13.901233673095703,3.0007362365722656,"[55.79066276550293, 137.5442028045655]",0,"[6.753325462341309, 21.199584007263184]",0,0,densenet201-2-resnet34-2
densenet201,4,resnet34,4,mps-uncap,1.0,328.2202798995422,1675.8702146185335,12.32600212097168,2.5589466094970703,13.023226261138916,2.644903659820556,14.764785766601562,3.836393356323242,"[42.35696792602539, 113.26956748962402]",0,"[6.506919860839844, 19.17881965637207]",0,0,densenet201-4-resnet34-4
densenet201,16,resnet34,16,mps-uncap,1.0,656.619870574615,2626.244727697081,24.610519409179688,6.550455093383789,24.794340133666992,7.170913219451903,26.899337768554688,7.755756378173828,"[62.50441074371338, 216.6438102722168]",0,"[12.609004974365234, 35.66241264343262]",0,0,densenet201-16-resnet34-16
densenet201,8,resnet34,8,mps-uncap,1.0,543.732012541753,2174.95100863223,14.866352081298828,4.242181777954102,14.986038208007812,4.407591819763184,17.309904098510742,4.582405090332031,"[46.94116115570069, 133.82303714752197]",0,"[8.031487464904785, 22.634100914001465]",0,0,densenet201-8-resnet34-8
