m1,b1,m2,b2,m3,b3,mode,load,tput_m1,tput_m2,tput_m3,total_p90_m1,total_p90_m2,total_p90_m3,total_p99_m1,total_p99_m2,total_p99_m3,total_p100_m1,total_p100_m2,total_p100_m3,slo_m1,slo_violation_m1,slo_m2,slo_violation_m2,slo_m3,slo_violation_m3,slo_violation_no,job_mix
efficientnet_b7,16,mobilenet_v3_small,2,resnet152,16,mig,1.0,274.79642396516914,483.8224599097475,321.94208488288655,58.469200134277344,4.205012321472169,49.90801811218262,60.11775016784668,4.3920087814331055,51.38729572296143,71.55799865722656,12.623071670532228,62.74271011352539,110.39,0,20.895,0,64.33,0,0,efficientnet_b7-16-mobilenet_v3_small-2-resnet152-16
vgg11,32,efficientnet_b6,8,mobilenet_v2,4,mps-uncap,1.0,2354.379547645985,132.26917154956266,294.1446543568228,14.403724670410158,65.42882919311523,16.90387725830078,15.052268505096436,67.03622817993164,20.902338027954105,24.984359741210938,71.04825973510742,22.61924743652344,39.62,0,87.815,0,20.37,1,1,vgg11-32-efficientnet_b6-8-mobilenet_v2-4
vgg11,32,efficientnet_b6,8,mobilenet_v2,4,mig,1.0,1347.1041477929937,223.4140890280549,996.1535247017924,24.09825325012207,36.02728843688965,4.215240478515625,25.97704887390137,36.99847221374512,4.340648651123047,34.12437438964844,50.2469539642334,11.142969131469728,39.62,0,87.815,0,20.37,0,0,vgg11-32-efficientnet_b6-8-mobilenet_v2-4
squeezenet1_1,32,efficientnet_b5,16,resnet152,2,mps-uncap,1.0,4086.122633024108,571.7579818151332,74.05078924319638,10.387659072875977,29.40807342529297,28.69405746459961,11.397123336791992,30.48437595367432,29.653151035308845,18.967390060424805,40.0238037109375,37.61744499206543,15.995,1,78.61,0,63.56,0,1,squeezenet1_1-32-efficientnet_b5-16-resnet152-2
squeezenet1_1,32,efficientnet_b5,16,resnet152,2,mig,1.0,4167.356739441562,299.84385903501686,147.1706061656222,8.101344108581543,53.78379821777344,13.728094100952148,9.40907001495361,55.142202377319336,14.336388111114502,12.979745864868164,56.71930313110352,19.148826599121094,15.995,0,78.61,0,63.56,0,0,squeezenet1_1-32-efficientnet_b5-16-resnet152-2
densenet169,8,efficientnet_b7,8,mobilenet_v2,8,mps-uncap,1.0,349.209177934111,275.98341886813785,1735.7330886780644,24.10292625427246,29.93969917297364,5.486965179443359,24.58141326904297,30.673751831054688,6.610870361328125,35.83693504333496,40.24052619934082,15.413284301757812,78.68,0,107.31,0,20.475,0,0,densenet169-8-efficientnet_b7-8-mobilenet_v2-8
densenet169,8,efficientnet_b7,8,mobilenet_v2,8,mig,1.0,467.7751001680276,166.20679631503864,1551.0900769591128,17.273306846618652,48.38047027587891,5.267858505249023,18.15382242202759,49.32991981506348,6.1357951164245605,27.27937698364257,59.74936485290527,19.64998245239257,78.68,0,107.31,0,20.475,0,0,densenet169-8-efficientnet_b7-8-mobilenet_v2-8
efficientnet_b6,8,mobilenet_v2,2,resnet50,2,mps-uncap,1.0,437.43554579414746,465.07228112500553,380.5273602343555,19.236421585083008,4.744005203247071,5.955219268798828,19.96191501617432,5.717525482177734,6.837992668151856,31.85129165649414,16.587495803833008,17.89093017578125,87.815,0,20.65,0,24.115,0,0,efficientnet_b6-8-mobilenet_v2-2-resnet50-2
efficientnet_b6,8,mobilenet_v2,2,resnet50,2,mig,1.0,353.2363746007871,482.9081587640988,395.8886980928797,23.37265014648437,4.254341125488281,5.186939239501954,23.828399181365967,4.5279693603515625,5.456209182739258,35.52365303039551,14.55378532409668,18.4023380279541,87.815,0,20.65,0,24.115,0,0,efficientnet_b6-8-mobilenet_v2-2-resnet50-2
alexnet,8,mobilenet_v3_large,4,resnet101,2,mps-uncap,1.0,5533.221764852585,816.3706749433494,209.0358965758113,1.6148090362548828,5.04612922668457,9.832978248596191,1.7871856689453125,5.1953887939453125,10.117053985595703,14.52946662902832,10.849714279174805,19.14811134338379,4.585,1,24.605,0,43.785,0,1,alexnet-8-mobilenet_v3_large-4-resnet101-2
alexnet,8,mobilenet_v3_large,4,resnet101,2,mig,1.0,4155.151566552327,807.5713298418281,213.0624817912904,2.032756805419922,5.03087043762207,9.552001953125,2.695798873901367,5.258076190948487,9.924554824829102,16.599178314208984,17.061948776245117,22.171497344970703,4.585,1,24.605,0,43.785,0,1,alexnet-8-mobilenet_v3_large-4-resnet101-2
efficientnet_b5,32,efficientnet_b5,2,vgg19,2,mps-uncap,1.0,768.0673258127946,53.08355656413682,271.4697353100589,42.23966598510742,40.401554107666016,11.948847770690918,42.78512001037598,41.762118339538574,12.894630432128906,52.53934860229492,49.72124099731445,18.38994026184082,106.645,0,74.445,0,8.855,1,1,efficientnet_b5-32-efficientnet_b5-2-vgg19-2
efficientnet_b5,32,efficientnet_b5,2,vgg19,2,mig,1.0,518.5342366749617,131.99785463677443,259.19923770572166,62.163400650024414,15.345525741577148,7.780313491821289,63.910322189331055,16.10051155090332,8.00541639328003,71.23804092407227,26.708126068115234,18.875598907470703,106.645,0,74.445,0,8.855,1,1,efficientnet_b5-32-efficientnet_b5-2-vgg19-2
mobilenet_v3_small,32,densenet169,2,resnet18,2,mps-uncap,1.0,7215.756193333807,114.26605724712928,953.3622453124924,4.870295524597168,17.650842666625977,2.362489700317383,5.21169900894165,18.227310180664062,2.6748180389404297,14.473199844360352,23.686647415161133,12.115955352783203,20.23,0,78.89,0,8.33,1,1,mobilenet_v3_small-32-densenet169-2-resnet18-2
mobilenet_v3_small,32,densenet169,2,resnet18,2,mig,1.0,6432.491216723503,116.89113944117209,951.6027574319702,5.470752716064453,17.270851135253906,2.14838981628418,5.64265251159668,17.943363189697266,2.2127628326416016,19.16289329528809,25.20370483398437,14.473199844360352,20.23,0,78.89,0,8.33,1,1,mobilenet_v3_small-32-densenet169-2-resnet18-2
vgg19,32,inception_v3,16,squeezenet1_0,8,mps-uncap,1.0,1143.039290495409,286.94231713399114,556.8626134377083,29.291343688964844,56.91933631896973,24.420857429504395,29.99111413955688,61.43655776977543,25.12437105178833,36.71669960021973,66.23291969299316,30.51900863647461,77.805,0,40.355,1,9.765,1,2,vgg19-32-inception_v3-16-squeezenet1_0-8
vgg19,32,inception_v3,16,squeezenet1_0,8,mig,1.0,633.3760391226714,895.5673056091485,1463.0843000703824,51.03361606597901,18.14672946929932,5.619049072265625,52.89912223815918,19.382991790771484,6.072914600372313,54.1079044342041,22.33147621154785,12.886524200439451,77.805,0,40.355,0,9.765,1,1,vgg19-32-inception_v3-16-squeezenet1_0-8
alexnet,32,efficientnet_b6,8,resnet101,16,mps-uncap,1.0,7001.599860816238,214.5864455225837,649.2808035592514,5.635976791381839,39.40901756286621,26.17149353027344,7.005882263183592,40.65773963928222,27.14171886444092,16.061782836914062,45.562744140625,34.198760986328125,10.92,1,87.815,0,43.995,0,1,alexnet-32-efficientnet_b6-8-resnet101-16
alexnet,32,efficientnet_b6,8,resnet101,16,mig,1.0,6655.137605888381,225.14358831356645,438.5395540533575,5.376458168029785,35.87446212768555,37.131547927856445,6.1542272567749015,36.41181945800781,38.04825782775878,8.836746215820312,41.29195213317871,43.77198219299317,10.92,0,87.815,0,43.995,0,0,alexnet-32-efficientnet_b6-8-resnet101-16
resnet152,32,resnet152,8,resnet18,8,mps-uncap,1.0,741.4658710779563,251.64345109276115,1229.8208546213004,44.03078556060791,33.78720283508301,8.793973922729494,44.6718692779541,35.328736305236816,11.120920181274412,55.188894271850586,41.988372802734375,18.268346786499023,95.725,0,64.155,0,8.96,1,1,resnet152-32-resnet152-8-resnet18-8
resnet152,32,resnet152,8,resnet18,8,mig,1.0,553.5483799949858,299.06139271392584,1800.3774426153486,58.17985534667969,26.95612907409668,4.558801651000977,60.26414632797241,28.01033973693848,4.986312389373773,65.20843505859375,33.47158432006836,11.95526123046875,95.725,0,64.155,0,8.96,1,1,resnet152-32-resnet152-8-resnet18-8
alexnet,32,efficientnet_b5,16,vgg16,8,mps-uncap,1.0,5285.583658260196,248.35426259569232,771.1380294732917,7.276153564453125,67.12188720703125,11.93852424621582,8.354730606079102,68.9874792098999,13.169374465942385,19.434690475463867,74.65910911560059,20.53499221801757,10.92,1,78.61,0,20.475,1,2,alexnet-32-efficientnet_b5-16-vgg16-8
alexnet,32,efficientnet_b5,16,vgg16,8,mig,1.0,6392.183719874058,295.09557779563227,403.9290268437571,5.454301834106445,54.76598739624024,20.07966041564941,6.189513206481943,56.30970478057862,20.42987823486328,16.396284103393555,62.39724159240723,26.808738708496094,10.92,1,78.61,0,20.475,1,2,alexnet-32-efficientnet_b5-16-vgg16-8
densenet169,16,densenet201,2,resnet50,4,mps-uncap,1.0,797.0950127495436,95.46132551919848,682.3268503046804,20.403623580932617,22.08805084228516,7.632970809936523,20.76663494110108,22.86677360534668,8.425161838531494,32.10878372192383,32.375335693359375,16.908884048461914,78.47,0,95.025,0,23.625,0,0,densenet169-16-densenet201-2-resnet50-4
densenet169,16,densenet201,2,resnet50,4,mig,1.0,723.1981046558217,95.00331819806958,571.2613314834858,22.3383903503418,21.31342887878418,7.091760635375977,23.48083019256592,22.3057508468628,7.430584430694582,35.97593307495117,30.5483341217041,19.930362701416016,78.47,0,95.025,0,23.625,0,0,densenet169-16-densenet201-2-resnet50-4
resnet50,32,mobilenet_v2,8,squeezenet1_0,8,mps-uncap,1.0,1671.409368363809,965.482037788478,1204.3924355908175,19.57545280456543,11.757278442382814,9.874248504638674,20.42004108428955,12.629070281982422,10.69270133972168,30.15589714050293,21.851778030395508,21.01612091064453,46.585,0,20.475,1,9.765,1,2,resnet50-32-mobilenet_v2-8-squeezenet1_0-8
resnet50,32,mobilenet_v2,8,squeezenet1_0,8,mig,1.0,1197.298613817575,1551.5822914655923,1503.3454744016983,27.118349075317383,5.317926406860352,5.489826202392578,29.426994323730472,5.765576362609863,5.926649570465088,32.4709415435791,11.28530502319336,13.222694396972656,46.585,0,20.475,0,9.765,1,1,resnet50-32-mobilenet_v2-8-squeezenet1_0-8
squeezenet1_1,16,resnet101,2,vgg13,16,mps-uncap,1.0,1462.56999993901,65.6808346908582,1462.575169148011,11.35873794555664,33.0195426940918,11.250734329223633,12.30630874633789,36.45043373107909,12.258338928222658,22.52030372619629,42.63472557067871,22.474288940429688,9.66,1,43.785,0,30.835,0,1,squeezenet1_1-16-resnet101-2-vgg13-16
squeezenet1_1,16,resnet101,2,vgg13,16,mig,1.0,3871.281274866458,215.65148627431952,531.9668225910541,4.373311996459961,9.415292739868166,30.515146255493164,5.119595527648926,9.786658287048336,32.11648941040039,18.082141876220703,22.51553535461425,44.86918449401856,9.66,1,43.785,0,30.835,1,2,squeezenet1_1-16-resnet101-2-vgg13-16
mobilenet_v3_small,16,densenet161,4,resnet101,2,mps-uncap,1.0,3825.3915543787416,240.01061966666103,214.5988886977656,4.259347915649414,16.943931579589844,9.577512741088867,4.690485000610353,17.4990177154541,9.998435974121096,18.106698989868164,28.904199600219727,22.8879451751709,21.49,0,77.21,0,43.785,0,0,mobilenet_v3_small-16-densenet161-4-resnet101-2
mobilenet_v3_small,16,densenet161,4,resnet101,2,mig,1.0,3814.811853010444,219.1486739338639,217.2827173558676,4.274606704711914,18.46175193786621,9.374380111694336,4.4521164894104,19.553365707397464,9.779272079467772,16.56937599182129,32.61518478393555,20.661354064941406,21.49,0,77.21,0,43.785,0,0,mobilenet_v3_small-16-densenet161-4-resnet101-2
vgg11,16,alexnet,4,efficientnet_b6,2,mps-uncap,1.0,2156.62121846107,1223.6593161335666,45.03496012328238,7.690048217773437,5.223989486694336,46.55289649963379,8.275289535522461,5.619525909423828,48.3187198638916,18.31507682800293,12.805461883544922,49.863576889038086,21.77,0,3.57,1,85.575,0,1,vgg11-16-alexnet-4-efficientnet_b6-2
vgg11,16,alexnet,4,efficientnet_b6,2,mig,1.0,1227.5730318140545,2268.1329440066693,114.80116291384742,13.320446014404297,1.872539520263672,17.66490936279297,14.247198104858398,2.1592617034912123,18.414306640625,22.883176803588867,16.826868057250977,25.87485313415528,21.77,1,3.57,1,85.575,0,2,vgg11-16-alexnet-4-efficientnet_b6-2
mobilenet_v2,32,densenet169,8,efficientnet_b7,4,mps-uncap,1.0,3733.482877381908,272.43136200055943,109.16888451738244,9.5717191696167,31.492233276367188,38.43188285827637,10.536212921142578,32.399253845214844,39.86726999282836,19.953012466430664,41.25475883483887,47.8360652923584,23.45,0,78.68,0,107.66,0,0,mobilenet_v2-32-densenet169-8-efficientnet_b7-4
mobilenet_v2,32,densenet169,8,efficientnet_b7,4,mig,1.0,2648.2837064991327,417.727247316217,150.66748073380683,12.493515014648438,19.38045024871826,26.731061935424805,14.084820747375488,20.220327377319336,27.437477111816406,19.437313079833984,26.30877494812012,32.33957290649414,23.45,0,78.68,0,107.66,0,0,mobilenet_v2-32-densenet169-8-efficientnet_b7-4
densenet201,16,inception_v3,2,mobilenet_v2,4,mps-uncap,1.0,730.3191618815549,203.1681998110213,933.6405634973185,22.327470779418945,11.100053787231444,4.912853240966797,25.753979682922363,11.6166353225708,5.256891250610352,32.1962833404541,17.68946647644043,8.525609970092773,93.695,0,40.18,0,20.37,0,0,densenet201-16-inception_v3-2-mobilenet_v2-4
densenet201,16,inception_v3,2,mobilenet_v2,4,mig,1.0,551.1956912265791,231.32246969830183,985.2273929565436,29.39174175262451,8.764052391052246,4.131317138671875,30.624537467956543,9.231343269348145,4.310131072998047,42.04988479614258,15.943765640258787,16.49165153503418,93.695,0,40.18,0,20.37,0,0,densenet201-16-inception_v3-2-mobilenet_v2-4
resnet34,8,inception_v3,2,resnet18,2,mps-uncap,1.0,2183.065897958581,221.066294261961,981.0346162625632,3.864932060241699,9.256362915039062,2.135038375854492,4.471573829650879,9.699440002441406,2.6196098327636723,18.14866065979004,22.534847259521484,16.842126846313477,14.035,1,40.18,0,8.33,1,2,resnet34-8-inception_v3-2-resnet18-2
resnet34,8,inception_v3,2,resnet18,2,mig,1.0,1630.50420855733,227.9529189819889,952.7001255967082,5.531787872314453,9.005069732666016,2.1991729736328125,6.176304817199706,9.38990831375122,2.520985603332519,19.169330596923828,19.6688175201416,15.888452529907228,14.035,1,40.18,0,8.33,1,2,resnet34-8-inception_v3-2-resnet18-2
vgg16,2,efficientnet_b6,2,squeezenet1_1,4,mps-uncap,1.0,677.4566193148744,103.1382901497764,1587.3293146128597,3.124713897705078,19.985151290893555,2.841472625732422,3.31583023071289,20.570087432861328,3.074693679809569,14.286041259765623,26.493549346923828,9.616851806640623,7.77,1,85.575,0,8.82,1,2,vgg16-2-efficientnet_b6-2-squeezenet1_1-4
vgg16,2,efficientnet_b6,2,squeezenet1_1,4,mig,1.0,487.0241208319103,113.59882693713053,2169.4838439082546,4.156589508056641,17.84539222717285,1.900672912597656,4.420771598815917,18.62471103668213,2.155523300170898,13.113737106323242,32.13357925415039,10.251283645629885,7.77,1,85.575,0,8.82,1,2,vgg16-2-efficientnet_b6-2-squeezenet1_1-4
vgg16,2,mobilenet_v3_large,16,resnet18,2,mps-uncap,1.0,568.585270909711,2340.8294320206005,730.3047473919236,3.850221633911133,7.221698760986328,3.383874893188477,4.460701942443846,7.591152191162108,3.8340091705322266,15.727043151855469,18.2490348815918,13.051271438598633,7.77,1,25.585,0,8.33,1,2,vgg16-2-mobilenet_v3_large-16-resnet18-2
vgg16,2,mobilenet_v3_large,16,resnet18,2,mig,1.0,479.1297181769797,1905.278018974236,956.5276881512416,4.236459732055664,8.629798889160156,2.142190933227539,4.514694213867188,9.598255157470703,2.3386478424072266,16.992568969726562,23.61845970153809,16.40915870666504,7.77,1,25.585,0,8.33,1,2,vgg16-2-mobilenet_v3_large-16-resnet18-2
inception_v3,32,alexnet,2,vgg19,16,mps-uncap,1.0,618.9614328810734,517.3404238796356,1009.5299688305188,54.61931228637695,6.620550155639649,17.409205436706543,56.901917457580566,9.022750854492188,18.34625005722046,59.28683280944824,10.65373420715332,25.8173942565918,39.27,1,3.57,1,41.37,0,2,inception_v3-32-alexnet-2-vgg19-16
inception_v3,32,alexnet,2,vgg19,16,mig,1.0,1541.2881190000437,1326.9920667824567,384.7563358284112,21.139907836914062,1.558065414428711,41.954874992370605,23.10539245605469,1.6989707946777344,42.88520812988281,33.35118293762207,16.310930252075195,49.35646057128906,39.27,0,3.57,1,41.37,1,2,inception_v3-32-alexnet-2-vgg19-16
resnet152,16,squeezenet1_1,8,vgg13,4,mps-uncap,1.0,448.5079970901192,1448.6721111996517,755.5020542669184,36.60562038421631,6.631541252136231,6.3228607177734375,37.16405153274536,7.614266872406002,7.12364196777343,45.78781127929688,16.042470932006836,16.39080047607422,64.33,0,8.855,1,10.01,1,2,resnet152-16-squeezenet1_1-8-vgg13-4
resnet152,16,squeezenet1_1,8,vgg13,4,mig,1.0,512.7560909989018,2403.7217738768954,400.9992464803155,31.61945343017578,3.4677982330322266,10.112690925598145,32.81212329864502,3.926742076873777,10.601444244384766,44.91209983825684,19.10662651062012,24.46436882019043,64.33,0,8.855,1,10.01,1,2,resnet152-16-squeezenet1_1-8-vgg13-4
resnet101,32,densenet169,8,densenet201,2,mps-uncap,1.0,1304.3420245831544,244.43198401068128,54.43431802593765,25.179553031921387,36.041855812072754,40.19737243652344,25.5993390083313,37.01554536819457,41.23210906982422,35.02058982849121,41.78309440612793,46.29898071289063,70.035,0,78.68,0,95.025,0,0,resnet101-32-densenet169-8-densenet201-2
resnet101,32,densenet169,8,densenet201,2,mig,1.0,792.8675435580883,421.5049508005527,99.22528737256997,40.705108642578125,19.121336936950684,20.398855209350582,42.67093658447265,20.07796764373779,21.43073081970215,47.14202880859375,28.03993225097656,27.31895446777344,70.035,0,78.68,0,95.025,0,0,resnet101-32-densenet169-8-densenet201-2
resnet101,2,resnet50,2,squeezenet1_0,2,mps-uncap,1.0,209.5278608949249,394.6590128077645,1095.4143556927252,9.782552719116213,5.290508270263672,1.8808841705322263,10.056591033935549,5.507862567901611,2.064228057861328,19.60420608520508,17.34638214111328,15.179872512817385,43.785,0,24.115,0,9.485,1,1,resnet101-2-resnet50-2-squeezenet1_0-2
resnet101,2,resnet50,2,squeezenet1_0,2,mig,1.0,216.5701322444672,393.7565141705819,1103.839121093836,9.361839294433594,5.164146423339844,1.8875598907470703,9.68486785888672,5.295314788818359,2.0759105682373047,20.979642868041992,20.432472229003903,15.13981819152832,43.785,0,24.115,0,9.485,1,1,resnet101-2-resnet50-2-squeezenet1_0-2
vgg16,32,alexnet,32,efficientnet_b6,32,mps-uncap,1.0,1117.0085973493651,2822.2894858057075,174.0440969247731,32.105398178100586,17.09115505218506,193.98272037506104,34.47244644165038,19.461944103240967,197.9677152633667,43.292999267578125,29.317855834960938,200.6731033325196,67.62,0,10.92,1,140.455,1,2,vgg16-32-alexnet-32-efficientnet_b6-32
vgg16,32,alexnet,32,efficientnet_b6,32,mig,1.0,732.5563445716459,4592.2899651606685,232.84244345088007,44.42961215972901,7.49516487121582,138.28096389770508,45.96268415451052,8.862705230712896,139.80494499206543,48.47550392150879,22.598743438720703,148.26273918151855,67.62,0,10.92,1,140.455,1,2,vgg16-32-alexnet-32-efficientnet_b6-32
vgg16,16,inception_v3,4,resnet18,4,mps-uncap,1.0,1306.4239382331311,129.71089795069597,541.8432319804307,12.535810470581056,33.98795127868652,10.325050354003906,12.916278839111326,34.910268783569336,10.830745697021484,24.16348457336425,36.43369674682617,17.482519149780273,36.05,0,40.425,0,8.295,1,1,vgg16-16-inception_v3-4-resnet18-4
vgg16,16,inception_v3,4,resnet18,4,mig,1.0,707.822607157619,457.1127752195469,1417.544048251059,22.885990142822266,8.897256851196289,2.920150756835937,23.85268211364746,9.259395599365234,3.257274627685547,31.25905990600586,21.926403045654297,13.132572174072266,36.05,0,40.425,0,8.295,1,1,vgg16-16-inception_v3-4-resnet18-4
vgg11,4,resnet50,4,squeezenet1_1,8,mps-uncap,1.0,1136.0929283458338,482.3103169341382,2261.634671912448,3.8190126419067374,8.95237922668457,3.820180892944336,4.0990376472473145,9.417724609375,4.104902744293213,13.817310333251951,18.75138282775879,13.144493103027344,7.56,1,23.625,0,8.855,1,2,vgg11-4-resnet50-4-squeezenet1_1-8
vgg11,4,resnet50,4,squeezenet1_1,8,mig,1.0,879.40450339612,558.6919746439252,2383.975632992335,4.704952239990234,7.341146469116211,3.528594970703125,5.121026039123535,7.811713218688967,4.105806350708008,16.649961471557617,21.642446517944336,17.310380935668945,7.56,1,23.625,0,8.855,1,2,vgg11-4-resnet50-4-squeezenet1_1-8
efficientnet_b6,16,densenet201,2,inception_v3,16,mps-uncap,1.0,540.0495693754543,75.42718180194042,888.7569763366819,30.341768264770508,27.777671813964844,20.06361484527588,30.72640419006348,28.369617462158203,20.692853927612305,42.77396202087402,36.312103271484375,33.20193290710449,90.055,0,95.025,0,40.355,0,0,efficientnet_b6-16-densenet201-2-inception_v3-16
