mode,load,0_alexnet-32,1_mobilenet_v3_small-2,2_resnet18-2
mps-uncap,0.8,3.0770301818847656,4.426884651184082,3.1104087829589844
mps-uncap,0.9,3.078937530517578,4.427909851074219,3.141641616821289
mps-uncap,1.0,3.0879974365234375,4.356598854064941,3.1499862670898438
mps-uncap,0.5,3.0732154846191406,4.421401023864746,3.0891895294189453
mps-uncap,0.6,3.0755996704101562,4.418611526489258,3.0689239501953125
mps-uncap,0.7,3.077268600463867,4.350900650024414,3.1273365020751953
mps-uncap,0.1,5.434060096740723,9.395480155944824,4.689335823059082
mps-uncap,0.2,5.256724357604981,8.21676254272461,4.455089569091797
mps-uncap,0.3,5.109310150146484,6.316995620727539,3.6427974700927734
mps-uncap,0.4,4.716396331787109,4.904985427856445,3.397226333618164
