mode,load,0_alexnet-32,1_mobilenet_v3_small-2,2_resnet18-2
mps-uncap,0.8,133.13288688659668,7457.119727134707,49.91865158081054
mps-uncap,0.9,3845.395565032959,13543.565225601198,3628.953838348389
mps-uncap,1.0,9076.739478111267,17723.0655670166,9674.006748199463
mps-uncap,0.5,9.88621711730957,17.278957366943363,6.126737594604492
mps-uncap,0.6,12.96234130859375,38.732051849365234,8.68844985961914
mps-uncap,0.7,20.686674118041992,266.91565513610857,14.138650894165039
mps-uncap,0.1,6.391596794128417,16.032099723815918,7.093906402587891
mps-uncap,0.2,6.902790069580083,14.047384262084963,7.411718368530273
mps-uncap,0.3,6.922006607055664,11.623382568359375,5.940413475036621
mps-uncap,0.4,8.22606086730958,12.817716598510744,5.728578567504884
