mode,load,0_densenet169-4,1_inception_v3-16,2_resnet152-32
mps-uncap,0.8,32.71626949310302,22.53546714782715,33.87906074523926
mps-uncap,0.9,32.901248931884766,21.326084136962887,34.977946281433105
mps-uncap,1.0,33.03227186203002,21.677193641662594,35.095582008361816
mps-uncap,0.5,30.961513519287106,20.058126449584954,33.6014461517334
mps-uncap,0.6,28.67534637451172,21.510910987853997,33.725504875183105
mps-uncap,0.7,31.307802200317383,20.732932090759277,34.29931163787842
mps-uncap,0.1,27.99372673034668,18.50856304168701,29.378056526184093
mps-uncap,0.2,27.57516860961914,18.715567588806152,30.6474781036377
mps-uncap,0.3,29.043352603912354,19.167699813842773,31.622185707092285
mps-uncap,0.4,29.618024826049805,19.755077362060547,32.841715812683105
