mode,load,0_densenet201-8,1_efficientnet_b5-8,2_mobilenet_v3_large-8
mps-uncap,1.0,378.1744292851992,472.13408506990976,1438.978764989662
mig,1.0,386.54074414939276,299.3256417493201,1614.1507174622316
