mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,13931.377840042114,2261.1574172973633,31.96272850036621
mps-uncap,0.9,17786.129446029663,9334.603984355927,176.40689849853507
mps-uncap,1.0,24164.926524162292,14003.371608257294,526.6189336776733
mps-uncap,0.5,49.378395080566406,33.318290710449155,8.71918201446533
mps-uncap,0.6,126.12207889556883,63.09298276901224,12.440147399902422
mps-uncap,0.7,5904.255175590515,108.4777355194092,17.116527557373054
mps-uncap,0.1,25.902183055877682,26.170735359191873,4.5318031311035165
mps-uncap,0.2,23.206996917724602,21.480386257171606,4.537770748138409
mps-uncap,0.3,22.38688468933106,19.556713104248036,5.274815559387212
mps-uncap,0.4,34.20856714248658,22.679588794708245,6.48270606994629
