mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,5.029916763305664,5.005359649658203,1.4491081237792969
mps-uncap,0.9,4.911184310913086,5.167722702026367,1.5897750854492188
mps-uncap,1.0,5.067348480224609,5.225896835327148,1.7240047454833984
mps-uncap,0.5,4.878997802734375,4.895925521850586,1.4138221740722656
mps-uncap,0.6,4.806041717529297,4.939556121826172,1.434326171875
mps-uncap,0.7,4.87828254699707,4.886150360107422,1.4348030090332031
mps-uncap,0.1,4.779815673828125,5.144834518432617,1.4657974243164062
mps-uncap,0.2,4.918813705444336,4.848003387451172,1.4309883117675781
mps-uncap,0.3,4.749059677124023,4.85682487487793,1.4159679412841797
mps-uncap,0.4,4.787206649780273,4.926204681396484,1.4226436614990234
