mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,13.796091079711914,13.491392135620117,11.073112487792969
mps-uncap,0.9,13.5955810546875,13.506889343261719,11.150598526000977
mps-uncap,1.0,13.564586639404297,12.733697891235352,8.40306282043457
mps-uncap,0.5,16.18337631225586,19.68097686767578,16.73150062561035
mps-uncap,0.6,9.867191314697266,12.504816055297852,10.758399963378906
mps-uncap,0.7,18.460750579833984,14.129161834716797,16.51287078857422
mps-uncap,0.1,13.212203979492188,14.933586120605469,13.205766677856445
mps-uncap,0.2,11.663436889648438,11.98887825012207,5.3462982177734375
mps-uncap,0.3,9.572505950927734,10.02955436706543,5.560874938964844
mps-uncap,0.4,8.250713348388672,16.617298126220703,11.735200881958008
