mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,13993.607521057129,2293.358325958252,58.1355094909668
mps-uncap,0.9,18016.875982284546,9395.388126373291,216.53342247009277
mps-uncap,1.0,24439.43452835083,14079.935312271118,549.7262477874756
mps-uncap,0.5,69.63086128234863,52.15716361999512,16.745328903198242
mps-uncap,0.6,161.78584098815918,87.19849586486816,23.166656494140625
mps-uncap,0.7,5939.853191375732,130.96117973327637,30.90357780456543
mps-uncap,0.1,34.34896469116211,34.82389450073242,13.219594955444336
mps-uncap,0.2,35.62593460083008,31.039953231811523,8.866310119628906
mps-uncap,0.3,37.880659103393555,32.160043716430664,9.702920913696289
mps-uncap,0.4,53.503990173339844,34.78431701660156,12.893199920654297
