mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,5.01251220703125,5.004167556762695,1.875162124633789
mps-uncap,0.9,4.974603652954102,5.053281784057617,1.8889904022216797
mps-uncap,1.0,5.016088485717773,5.06138801574707,1.8932819366455078
mps-uncap,0.5,4.997968673706055,5.066156387329102,1.7383098602294922
mps-uncap,0.6,4.912137985229492,5.101680755615234,1.7943382263183594
mps-uncap,0.7,4.928350448608398,5.008220672607422,1.8422603607177734
mps-uncap,0.1,9.006738662719727,9.474992752075195,2.1245479583740234
mps-uncap,0.2,5.9604644775390625,6.849765777587891,1.7597675323486328
mps-uncap,0.3,4.9953460693359375,5.267620086669922,1.706838607788086
mps-uncap,0.4,4.96363639831543,5.123615264892578,1.7113685607910156
