mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,13926.432740688324,2256.0364842414856,29.777717590331992
mps-uncap,0.9,17781.126050949097,9329.303271770477,174.5104122161864
mps-uncap,1.0,24159.874534606934,13998.25299501419,524.713237285614
mps-uncap,0.5,44.37091827392574,28.22586297988884,6.770360469818114
mps-uncap,0.6,120.97226619720458,57.97762870788547,10.421571731567429
mps-uncap,0.7,5899.050073623657,103.2416915893555,15.087146759033207
mps-uncap,0.1,17.463612556457516,17.195062637329084,2.1660041809082036
mps-uncap,0.2,16.586613655090325,14.882323741912833,2.580189704895018
mps-uncap,0.3,17.55857467651368,14.257764816284169,3.274126052856446
mps-uncap,0.4,29.30553436279297,17.673616409301754,4.514546394348147
