mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,4.859209060668945,4.825353622436523,1.4336109161376953
mps-uncap,0.9,4.797935485839844,4.838466644287109,1.5552043914794922
mps-uncap,1.0,4.847288131713867,4.856109619140625,1.5234947204589844
mps-uncap,0.5,4.831075668334961,4.852533340454102,1.394510269165039
mps-uncap,0.6,4.746437072753906,4.89044189453125,1.3971328735351562
mps-uncap,0.7,4.765033721923828,4.824161529541016,1.4069080352783203
mps-uncap,0.1,4.689455032348633,4.855632781982422,1.4431476593017578
mps-uncap,0.2,4.873514175415039,4.835367202758789,1.4162063598632812
mps-uncap,0.3,4.713773727416992,4.833221435546875,1.4019012451171875
mps-uncap,0.4,4.746437072753906,4.885673522949219,1.405477523803711
