mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,5.244255065917969,5.31005859375,2.2630691528320312
mps-uncap,0.9,5.205202102661133,5.325412750244141,2.262592315673828
mps-uncap,1.0,5.244731903076172,5.295038223266602,2.2339820861816406
mps-uncap,0.5,5.270862579345703,5.504369735717773,2.225160598754883
mps-uncap,0.6,5.155086517333984,5.496501922607422,2.2971630096435547
mps-uncap,0.7,5.161428451538086,5.386114120483398,2.3161888122558594
mps-uncap,0.1,10.99557876586914,11.3372802734375,2.359771728515625
mps-uncap,0.2,8.736848831176758,8.856987953186035,2.090001106262207
mps-uncap,0.3,6.231069564819336,6.964206695556641,2.066516876220703
mps-uncap,0.4,5.581855773925781,5.833864212036133,2.1562099456787114
