mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,6993.14558506012,1406.6568613052368,4.801750183105469
mps-uncap,0.9,8926.2216091156,4978.915691375732,10.44774055480957
mps-uncap,1.0,12124.337434768677,7573.513507843018,305.38105964660645
mps-uncap,0.5,12.121915817260742,8.350133895874023,2.1317005157470703
mps-uncap,0.6,31.548738479614258,11.957049369812012,2.5560855865478516
mps-uncap,0.7,2875.4444122314453,24.86896514892578,3.236055374145508
mps-uncap,0.1,9.881258010864258,10.144233703613281,2.1851062774658203
mps-uncap,0.2,7.649421691894531,8.085370063781738,1.8662214279174805
mps-uncap,0.3,6.49261474609375,6.453752517700195,1.7960071563720703
mps-uncap,0.4,8.085131645202637,6.645679473876953,1.9145011901855469
