mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,394.7446834656786,1568.6535178640038,821.5031754355163
mps-uncap,0.9,398.04356432316234,1560.4353638145938,947.9485393687194
mps-uncap,1.0,394.87704104606826,1563.898979278179,1020.9122639239989
mps-uncap,0.5,320.18893197711225,1023.1663427997289,521.1687094024954
mps-uncap,0.6,382.14339413723565,1207.7047890973274,619.4041928619592
mps-uncap,0.7,401.2721550288684,1442.8022841346117,711.9943123612841
mps-uncap,0.1,63.85886831977363,203.4021784764957,108.49218862486336
mps-uncap,0.2,127.19612975785664,400.11402793703365,212.9608006118904
mps-uncap,0.3,192.4969422702727,606.8504394165269,316.75238817000337
mps-uncap,0.4,251.73129530798965,831.2619410872876,422.7353402726464
