mode,load,0_mobilenet_v3_large-2,1_mobilenet_v3_large-8,2_vgg11-2
mps-uncap,0.8,0.01239776611328125,0.012636184692382812,0.009059906005859375
mps-uncap,0.9,0.011920928955078125,0.011920928955078125,0.009059906005859375
mps-uncap,1.0,0.01239776611328125,0.0133514404296875,0.010728836059570312
mps-uncap,0.5,0.0095367431640625,0.010013580322265625,0.009059906005859375
mps-uncap,0.6,0.0095367431640625,0.010013580322265625,0.009059906005859375
mps-uncap,0.7,0.011920928955078125,0.0095367431640625,0.009298324584960938
mps-uncap,0.1,0.011920928955078125,0.01239776611328125,0.011920928955078125
mps-uncap,0.2,0.01049041748046875,0.011682510375976562,0.011205673217773438
mps-uncap,0.3,0.010013580322265625,0.009775161743164062,0.010728836059570312
mps-uncap,0.4,0.010013580322265625,0.0095367431640625,0.009059906005859375
