mode,load,0_densenet169-2,1_inception_v3-8,2_squeezenet1_1-32
mps-uncap,0.8,86.3252498573614,567.5249310430272,5833.453135034974
mps-uncap,0.9,99.83370015110584,638.8040331470329,6417.728878133138
mps-uncap,1.0,112.6768411903375,691.8183338382429,7328.116849911721
mps-uncap,0.5,55.644131182833675,338.2424837524942,3583.837356341837
mps-uncap,0.6,66.22780558151477,407.99508462560743,4343.176857504496
mps-uncap,0.7,80.63273435251806,470.68692655216324,5110.0142938320105
mps-uncap,0.1,10.423177559709808,65.80885655426745,736.2807303151386
mps-uncap,0.2,23.83759783578313,130.98733438786684,1408.9408386181262
mps-uncap,0.3,33.257893254638645,204.89974383223452,2170.5044541182288
mps-uncap,0.4,45.02745453811071,282.95143277417895,2925.0572184754856
