mode,load,0_densenet169-2,1_inception_v3-8,2_squeezenet1_1-32
mps-uncap,0.8,17.20890998840332,11.523747444152832,4.446506500244141
mps-uncap,0.9,15.935802459716799,11.800193786621096,4.68888282775879
mps-uncap,1.0,18.082475662231445,10.820817947387695,4.790067672729492
mps-uncap,0.5,17.677116394042972,11.595940589904785,4.343247413635254
mps-uncap,0.6,16.13001823425293,11.106514930725098,4.42814826965332
mps-uncap,0.7,16.51566028594971,11.052465438842775,4.364013671875
mps-uncap,0.1,25.04289150238037,13.155317306518555,3.8654804229736324
mps-uncap,0.2,24.172258377075195,13.766908645629883,4.064083099365234
mps-uncap,0.3,18.868517875671387,13.387870788574219,4.1919708251953125
mps-uncap,0.4,17.803096771240234,12.717771530151369,4.302120208740234
