mode,load,0_densenet121-2,1_mobilenet_v3_large-32,2_squeezenet1_0-8
mps-uncap,0.8,7.013797760009766,4.817008972167969,1.756429672241211
mps-uncap,0.9,6.880521774291992,4.802465438842773,1.7681121826171875
mps-uncap,1.0,7.086992263793945,4.845619201660156,1.7616748809814453
mps-uncap,0.5,6.941795349121094,4.821538925170898,1.7595291137695312
mps-uncap,0.6,6.980657577514648,4.823923110961914,1.7571449279785156
mps-uncap,0.7,6.891489028930664,4.798173904418945,1.7549991607666016
mps-uncap,0.1,7.066488265991211,4.816293716430664,1.7616748809814453
mps-uncap,0.2,6.789922714233398,4.831075668334961,1.7621517181396484
mps-uncap,0.3,6.915807723999023,4.806041717529297,1.7743110656738281
mps-uncap,0.4,6.895542144775391,4.830598831176758,1.7728805541992188
