mode,load,0_mobilenet_v2-8,1_resnet34-16,2_squeezenet1_0-16
mps-uncap,0.8,1177.007563726918,1331.61749304963,2424.4753651065535
mps-uncap,0.9,1312.2782571715068,1494.5673786826342,2770.5939902712244
mps-uncap,1.0,1374.8594789349997,1546.6239006239591,2744.407339984146
mps-uncap,0.5,731.7115591962748,843.7011232824744,1587.7934982411068
mps-uncap,0.6,882.7361623593089,1013.6650757194595,1798.548609931527
mps-uncap,0.7,1029.6839226908512,1173.6566320117292,2138.9787704063724
mps-uncap,0.1,147.39684888152217,161.14368331675823,303.39315733172145
mps-uncap,0.2,285.4835906264052,328.20449333794716,627.3114867232177
mps-uncap,0.3,439.6588865116546,503.68791673539164,902.3541151377691
mps-uncap,0.4,576.7490002090029,674.7862023258419,1241.1829317057252
