mode,load,0_mobilenet_v2-8,1_resnet34-16,2_squeezenet1_0-16
mps-uncap,0.8,15.749216079711914,17.167091369628906,14.048576354980469
mps-uncap,0.9,10.152816772460938,14.841556549072266,10.494470596313477
mps-uncap,1.0,10.335683822631836,12.994766235351562,10.332822799682617
mps-uncap,0.5,13.48257064819336,14.303207397460938,13.216733932495117
mps-uncap,0.6,15.355587005615234,16.95847511291504,14.680147171020508
mps-uncap,0.7,11.467933654785156,15.510082244873047,10.924100875854492
mps-uncap,0.1,11.152029037475586,12.136220932006836,10.288238525390625
mps-uncap,0.2,13.901948928833008,13.113975524902344,10.035991668701172
mps-uncap,0.3,11.688947677612305,14.052152633666992,16.36815071105957
mps-uncap,0.4,18.711566925048828,15.136003494262695,19.78921890258789
