mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-16,2_vgg13-16
mps-uncap,0.8,5.184412002563477,3.1239986419677734,8.515119552612305
mps-uncap,0.9,5.505084991455078,3.307819366455078,8.674144744873047
mps-uncap,1.0,5.633354187011719,3.740549087524414,8.824348449707031
mps-uncap,0.5,5.387306213378906,3.1697750091552734,8.49461555480957
mps-uncap,0.6,5.104780197143555,3.151416778564453,8.432865142822266
mps-uncap,0.7,5.050182342529297,3.1061172485351562,8.50820541381836
mps-uncap,0.1,7.696866989135742,3.340005874633789,8.678197860717773
mps-uncap,0.2,5.555152893066406,3.247976303100586,8.569955825805664
mps-uncap,0.3,5.4035186767578125,3.2498836517333984,8.484601974487305
mps-uncap,0.4,5.3920745849609375,3.2045841217041016,8.404970169067383
