mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-16,2_vgg13-16
mps-uncap,0.8,21.118640899658203,11.347532272338867,11.44254207611084
mps-uncap,0.9,26.23295783996582,13.994574546813965,12.502193450927734
mps-uncap,1.0,26.90577507019043,14.299511909484863,12.698531150817871
mps-uncap,0.5,10.918259620666504,5.051136016845703,10.061979293823242
mps-uncap,0.6,11.978864669799805,5.898237228393555,10.430574417114258
mps-uncap,0.7,15.402793884277344,9.853124618530273,10.938882827758789
mps-uncap,0.1,11.391162872314453,4.690051078796387,9.974479675292969
mps-uncap,0.2,11.446237564086914,4.449248313903809,9.71841812133789
mps-uncap,0.3,11.350274085998535,4.386186599731445,9.739995002746582
mps-uncap,0.4,10.916948318481445,4.544258117675781,9.834885597229004
