mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-16,2_vgg13-16
mps-uncap,0.8,149.2595672607422,139.6961212158203,250.885009765625
mps-uncap,0.9,755.5966377258301,634.9189281463623,1194.1916942596436
mps-uncap,1.0,3061.6698265075684,1722.1274375915527,8454.877376556396
mps-uncap,0.5,66.38956069946289,43.87688636779785,54.50868606567383
mps-uncap,0.6,74.71275329589844,67.37351417541504,94.92087364196777
mps-uncap,0.7,138.09466361999512,91.38655662536621,121.96969985961914
mps-uncap,0.1,27.370452880859375,31.124353408813477,37.622690200805664
mps-uncap,0.2,33.356666564941406,29.34408187866211,33.26559066772461
mps-uncap,0.3,40.1763916015625,30.286788940429688,57.52277374267578
mps-uncap,0.4,41.176795959472656,37.73760795593262,56.3807487487793
