mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-16,2_vgg13-16
mps-uncap,0.8,942.5525733148127,953.5582502705095,1115.4924547459034
mps-uncap,0.9,1148.1582236489573,1078.4834800538604,1220.7687450783342
mps-uncap,1.0,1202.6315377209385,1156.3266661554194,1205.2349879858057
mps-uncap,0.5,636.179079905117,578.4513985275935,683.5627661979906
mps-uncap,0.6,757.4649790591452,727.3660610764059,778.6998861197808
mps-uncap,0.7,885.7776438867896,840.8973474510537,966.2581381860525
mps-uncap,0.1,116.13620658765025,124.30225636215722,136.68099789426773
mps-uncap,0.2,232.42878867674827,237.12514264358416,269.8155175340394
mps-uncap,0.3,376.2737982282136,345.1051716294132,413.4111768748595
mps-uncap,0.4,464.57417163413766,475.0971262143488,543.2792717169671
