mode,load,0_densenet121-16,1_vgg19-16,2_vgg19-2
mps-uncap,0.8,205.1749623229916,845.8565192641039,135.7294314064343
mps-uncap,0.9,241.49452675305497,977.7461608882968,149.6673596283197
mps-uncap,1.0,277.6406250151293,1065.9318957320208,168.63371171504986
mps-uncap,0.5,134.78241640532482,522.5551116619771,84.06978066148781
mps-uncap,0.6,160.31287400840267,652.7333230130816,99.13772228400705
mps-uncap,0.7,183.4858624762049,744.9172291058196,116.32483952973426
mps-uncap,0.1,26.6400988713679,106.9897524737003,18.648081285563705
mps-uncap,0.2,53.42382952682606,210.01129590496262,36.302781875969046
mps-uncap,0.3,82.60594963610168,324.9644314314831,51.31149307990895
mps-uncap,0.4,107.13309286632774,430.96470407174075,68.66466558830052
