mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,8.593559265136719,8.517026901245117,1.6810894012451172
mig,0.6,18.039941787719727,9.577035903930664,1.7421245574951172
mps-uncap,0.7,8.593559265136719,8.445262908935547,1.6710758209228516
mig,0.7,18.01609992980957,9.595155715942383,1.7352104187011719
mps-uncap,0.8,8.898258209228516,8.467912673950195,1.6660690307617188
mig,0.8,18.001794815063477,9.604930877685547,1.7240047454833984
mps-uncap,0.9,9.012222290039062,8.700847625732422,1.6880035400390625
mig,0.9,18.147945404052734,9.66644287109375,1.7549991607666016
mps-uncap,1.0,9.131431579589844,8.677005767822266,1.6698837280273438
mig,1.0,18.11504364013672,9.622335433959961,1.7304420471191406
mps-uncap,1.1,9.16290283203125,8.661031723022461,1.6632080078125
mig,1.1,18.0966854095459,9.666681289672852,1.7316341400146484
mps-uncap,1.2,9.197235107421875,8.61358642578125,1.699209213256836
mig,1.2,18.335819244384766,9.706735610961914,1.760721206665039
mps-uncap,1.3,9.086370468139648,8.56781005859375,1.6973018646240234
mig,1.3,18.35775375366211,9.754657745361328,1.7490386962890625
