mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,11.734843254089355,15.784525871276857,5.2738189697265625
mig,0.6,20.304250717163086,11.14192008972168,2.3262500762939453
mps-uncap,0.7,11.741781234741213,16.375303268432617,5.468845367431641
mig,0.7,20.187664031982422,11.066532135009766,2.1924972534179688
mps-uncap,0.8,11.207842826843262,20.38493156433105,6.206274032592773
mig,0.8,19.95067596435547,10.914134979248047,2.0809173583984375
mps-uncap,0.9,10.576033592224121,21.57754898071289,7.571220397949219
mig,0.9,19.953370094299316,10.83979606628418,2.0706653594970703
mps-uncap,1.0,10.35585403442383,21.851778030395508,7.921266555786132
mig,1.0,19.726276397705078,10.674858093261719,2.064228057861328
mps-uncap,1.1,10.385704040527344,23.377513885498047,8.39524269104004
mig,1.1,19.63019371032715,10.621881484985352,2.0551681518554688
mps-uncap,1.2,10.42637825012207,26.59289836883545,8.974075317382812
mig,1.2,19.638681411743164,10.632753372192383,2.0651817321777344
mps-uncap,1.3,10.465860366821289,28.069448471069336,9.270906448364258
mig,1.3,20.116233825683594,11.048173904418945,2.0983219146728516
