mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,0.012636184692382812,0.011920928955078125,0.010967254638671875
mig,0.6,0.013113021850585938,0.011920928955078125,0.010728836059570312
mps-uncap,0.7,0.013113021850585938,0.011920928955078125,0.010967254638671875
mig,0.7,0.012874603271484375,0.011920928955078125,0.011205673217773438
mps-uncap,0.8,0.013113021850585938,0.012159347534179688,0.012874603271484375
mig,0.8,0.013113021850585938,0.011920928955078125,0.010728836059570312
mps-uncap,0.9,0.011205673217773438,0.018835067749023438,0.013113021850585938
mig,0.9,0.0133514404296875,0.013589859008789062,0.011444091796875
mps-uncap,1.0,0.010728836059570312,0.04291534423828125,0.014066696166992188
mig,1.0,0.013113021850585938,0.013589859008789062,0.011205673217773438
mps-uncap,1.1,0.012874603271484375,0.017881393432617188,0.013828277587890625
mig,1.1,0.0171661376953125,0.01430511474609375,0.013113021850585938
mps-uncap,1.2,0.011444091796875,0.03981590270996094,0.01430511474609375
mig,1.2,0.018358230590820312,0.015497207641601562,0.013589859008789062
mps-uncap,1.3,0.011205673217773438,0.018358230590820312,0.014066696166992188
mig,1.3,0.018835067749023438,0.01621246337890625,0.013589859008789062
