mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,44.4636344909668,112.98990249633789,99.59650039672852
mig,0.6,145.7540988922119,76.55787467956543,28.37681770324707
mps-uncap,0.7,53.19380760192871,234.88378524780273,126.62982940673828
mig,0.7,172.19042778015137,136.5952491760254,26.335716247558594
mps-uncap,0.8,52.6888370513916,363.0516529083252,4473.548412322998
mig,0.8,356.5816879272461,165.7567024230957,42.74606704711914
mps-uncap,0.9,68.27259063720703,11106.236219406128,21270.27463912964
mig,0.9,324.99194145202637,491.37139320373535,147.19414710998535
mps-uncap,1.0,95.84379196166992,18835.277795791626,29978.575944900513
mig,1.0,1133.7251663208008,1232.3009967803955,856.9962978363037
mps-uncap,1.1,76.74980163574219,29001.11722946167,38210.973024368286
mig,1.1,5344.301700592041,8324.538230895996,4582.730054855347
mps-uncap,1.2,99.44367408752441,38150.33149719238,47558.21084976196
mig,1.2,14197.533369064331,13165.461540222168,10776.095628738403
mps-uncap,1.3,99.38383102416992,45239.02440071106,54297.279596328735
mig,1.3,21505.847454071045,21524.15919303894,19528.006315231323
