mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,34.378767013549805,99.56955909729004,95.95370292663574
mig,0.6,124.7396469116211,66.86973571777344,26.34143829345703
mps-uncap,0.7,42.36102104187012,225.96144676208496,123.39115142822266
mig,0.7,153.66196632385254,126.7390251159668,24.286746978759766
mps-uncap,0.8,42.44828224182129,348.9868640899658,4470.627546310425
mig,0.8,337.0852470397949,154.84213829040527,40.70305824279785
mps-uncap,0.9,58.35604667663574,11096.53377532959,21258.08572769165
mig,0.9,306.38790130615234,480.38458824157715,145.29705047607422
mps-uncap,1.0,85.65449714660645,18826.47705078125,29970.213413238525
mig,1.0,1115.135669708252,1222.1603393554688,854.9149036407471
mps-uncap,1.1,66.62368774414062,28992.284536361694,38188.188552856445
mig,1.1,5324.987173080444,8314.28575515747,4580.86895942688
mps-uncap,1.2,88.98162841796875,38136.65246963501,47538.43307495117
mig,1.2,14178.752899169922,13155.338048934937,10771.085977554321
mps-uncap,1.3,88.94467353820801,45224.451780319214,54277.814865112305
mig,1.3,21487.453937530518,21512.468338012695,19513.277769088745
