mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,499.17415461332985,464.96503050835827,1208.1260190346047
mig,0.6,505.72702841271365,458.9037616685312,1215.131149920679
mps-uncap,0.7,576.0384497497058,555.6882084650604,1425.947235718616
mig,0.7,585.220111622563,543.5003236431379,1418.4434201953966
mps-uncap,0.8,668.5621281295622,604.4209119333286,1539.014993349574
mig,0.8,669.9525733491689,614.9474643817229,1627.2903399547818
mps-uncap,0.9,770.6315739195194,628.058151827934,1408.5530818451796
mig,0.9,737.969460743961,691.3947449732912,1783.5472258135444
mps-uncap,1.0,821.7387068687575,612.483072920989,1374.5485717450151
mig,1.0,830.4272818884557,758.6335627221779,2026.8218558355693
mps-uncap,1.1,900.5944654135059,584.109609689719,1284.1699195638962
mig,1.1,842.1294267285025,780.2333726045256,2099.136802523809
mps-uncap,1.2,995.7305837532575,543.5084570608277,1161.2682562318407
mig,1.2,840.5418837675351,781.3162946638436,2097.1218237529056
mps-uncap,1.3,1077.439617550709,508.2661005156071,1063.7255660849482
mig,1.3,836.7879346075965,774.12668981436,2066.271361271273
