mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,9.698748588562012,8.88824462890625,1.768350601196289
mig,0.6,18.430471420288086,9.840965270996094,1.8820762634277344
mps-uncap,0.7,9.670495986938477,8.814573287963867,1.7604827880859375
mig,0.7,18.445491790771484,9.852409362792969,1.8310546875
mps-uncap,0.8,9.679794311523438,8.805036544799805,1.7480850219726562
mig,0.8,18.512845039367676,9.908676147460938,1.821756362915039
mps-uncap,0.9,9.779095649719238,9.077072143554688,1.7764568328857422
mig,0.9,18.624544143676758,9.987831115722656,1.8460750579833984
mps-uncap,1.0,9.743213653564453,9.084701538085938,1.7600059509277344
mig,1.0,18.808841705322266,10.102152824401855,1.8529891967773438
mps-uncap,1.1,9.837865829467773,9.579658508300781,1.7693042755126953
mig,1.1,18.835783004760742,10.124921798706055,1.8582344055175781
mps-uncap,1.2,9.882688522338867,13.553977012634277,1.8067359924316406
mig,1.2,18.854856491088867,10.13040542602539,1.8603801727294922
mps-uncap,1.3,9.915590286254883,14.27149772644043,1.8281936645507812
mig,1.3,18.858671188354492,10.133981704711914,1.8610954284667969
