mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,8.610963821411133,8.56328010559082,1.7137527465820312
mig,0.6,18.053531646728516,9.613513946533203,1.7664432525634766
mps-uncap,0.7,8.610963821411133,8.52203369140625,1.7042160034179688
mig,0.7,18.06044578552246,9.63139533996582,1.758575439453125
mps-uncap,0.8,8.9874267578125,8.550643920898438,1.7142295837402344
mig,0.8,18.076181411743164,9.634017944335938,1.7442703247070312
mps-uncap,0.9,9.183406829833984,9.063482284545898,1.8150806427001953
mig,0.9,18.18561553955078,9.717702865600586,1.7881393432617188
mps-uncap,1.0,9.144306182861328,17.8070068359375,3.808736801147461
mig,1.0,18.221378326416016,9.639978408813477,1.7447471618652344
mps-uncap,1.1,9.181499481201172,9.149789810180664,1.7685890197753906
mig,1.1,18.564939498901367,9.687185287475586,1.7881393432617188
mps-uncap,1.2,9.234905242919922,12.423992156982422,1.8148422241210938
mig,1.2,18.354177474975586,9.771108627319336,1.7936229705810547
mps-uncap,1.3,9.104251861572266,11.598348617553711,1.756429672241211
mig,1.3,18.420696258544922,9.771108627319336,1.7948150634765625
