mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,8.94773006439209,30.23574352264405,21.705913543701172
mig,0.6,39.28856849670411,20.105743408203132,4.065513610839844
mps-uncap,0.7,9.135818481445316,59.927940368652344,53.04718017578125
mig,0.7,56.00419044494629,29.620361328125007,5.741119384765625
mps-uncap,0.8,11.087989807128904,166.4496898651123,3966.506242752075
mig,0.8,113.46912384033205,43.02096366882324,8.48400592803955
mps-uncap,0.9,14.523005485534668,9828.326678276062,18936.980843544006
mig,0.9,134.70187187194824,131.07662200927732,20.057773590087926
mps-uncap,1.0,15.261125564575195,17200.88381767273,27034.80248451233
mig,1.0,762.8812789916992,1017.236018180847,587.5172138214108
mps-uncap,1.1,17.569780349731435,24895.96016407013,33698.89583587647
mig,1.1,4189.395904541016,7758.9927196502695,4175.489187240601
mps-uncap,1.2,22.20709323883058,34261.22868061066,43111.09204292297
mig,1.2,13285.708951950075,11889.843463897705,9878.442692756653
mps-uncap,1.3,25.352954864501953,40665.05753993988,49061.805725097656
mig,1.3,19084.06186103821,19249.16944503784,17362.439513206482
