mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,20.240366458892822,60.616526603698944,55.607190132140985
mig,0.6,74.92023468017578,44.51401710510254,9.58886146545411
mps-uncap,0.7,19.431052207946788,125.24681091308577,93.68557929992677
mig,0.7,104.61911678314189,77.96530723571776,12.595658302307127
mps-uncap,0.8,25.278508663177472,293.06923866271984,4401.207637786865
mig,0.8,269.1169333457947,113.94618988037112,18.639576435089044
mps-uncap,0.9,33.261783123016286,10832.83947467804,21087.526001930237
mig,0.9,244.9795007705688,402.64572143554653,126.89882278442383
mps-uncap,1.0,38.47134113311767,18550.21933555603,29556.21248722076
mig,1.0,990.3078079223633,1163.1337070465086,813.441514968872
mps-uncap,1.1,38.4377765655516,28481.40362262726,37610.332107543945
mig,1.1,5228.056907653809,8220.85554599762,4538.7779712677
mps-uncap,1.2,51.59684896469116,37839.57474708557,47085.24078607559
mig,1.2,14021.280231475836,13063.650703430176,10660.864973068237
mps-uncap,1.3,50.69947242736821,44862.476425170906,53899.86572265625
mig,1.3,21279.919910430912,21306.207396984104,19266.152153015137
