mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,15.076398849487305,30.869245529174805,14.03045654296875
mig,0.6,34.1188907623291,23.84662628173828,16.438007354736328
mps-uncap,0.7,16.183137893676758,31.32796287536621,12.214899063110352
mig,0.7,27.472734451293945,23.72908592224121,12.62974739074707
mps-uncap,0.8,14.311790466308594,36.0722541809082,18.05853843688965
mig,0.8,34.285783767700195,24.271011352539062,15.226125717163086
mps-uncap,0.9,23.633956909179688,31.785011291503906,21.567106246948242
mig,0.9,24.959802627563477,24.03569221496582,9.388446807861328
mps-uncap,1.0,15.782833099365234,35.70199012756348,17.84682273864746
mig,1.0,31.673192977905273,25.107383728027344,14.726400375366211
mps-uncap,1.1,17.554521560668945,35.048484802246094,24.023771286010742
mig,1.1,27.357816696166992,24.164199829101562,12.570858001708984
mps-uncap,1.2,16.84737205505371,32.62758255004883,19.777774810791016
mig,1.2,35.15887260437012,25.96879005432129,9.882926940917969
mps-uncap,1.3,17.693281173706055,35.02249717712402,20.891666412353516
mig,1.3,28.03969383239746,24.234294891357422,15.288591384887695
