mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,13.387858867645264,27.028014659881652,9.638361930847164
mig,0.6,21.597490310668945,12.16014862060547,3.0527591705322292
mps-uncap,0.7,13.544516563415536,27.580916881561254,9.764432907104496
mig,0.7,21.544153690338135,12.166318893432617,2.9364442825317374
mps-uncap,0.8,13.136029243469237,28.692884445190433,9.778976440429695
mig,0.8,21.509182453155518,12.075362205505371,2.8023242950439426
mps-uncap,0.9,13.07427167892456,29.3543767929077,9.936115741729736
mig,0.9,21.309568881988522,12.023525238037108,2.6856327056884766
mps-uncap,1.0,12.534308433532715,29.559936523437504,9.926435947418211
mig,1.0,20.919084548950195,11.706714630126953,2.535858154296874
mps-uncap,1.1,11.848936080932617,29.485499858856198,10.028839111328125
mig,1.1,20.746707916259766,11.464176177978512,2.5035858154296884
mps-uncap,1.2,11.870577335357668,29.933958053588867,10.159955024719235
mig,1.2,20.865297317504886,11.531877517700183,2.51136302947998
mps-uncap,1.3,11.795282363891609,30.322368144989017,10.239458084106444
mig,1.3,21.18961334228516,11.993792057037354,2.680506706237793
