mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,10.295510292053223,17.265796661376953,6.2351226806640625
mig,0.6,25.39372444152832,13.485431671142578,2.6595592498779297
mps-uncap,0.7,10.608911514282227,25.699615478515625,16.39533042907715
mig,0.7,32.00197219848633,16.777515411376953,3.1964778900146484
mps-uncap,0.8,10.592460632324219,50.07123947143555,2969.585418701172
mig,0.8,43.308377265930176,21.10004425048828,3.890395164489746
mps-uncap,0.9,11.275768280029297,5752.857685089111,10827.584028244019
mig,0.9,58.83300304412842,34.06095504760742,5.845308303833008
mps-uncap,1.0,11.287927627563477,9359.883069992065,14994.149923324585
mig,1.0,358.1409454345703,184.73005294799805,22.232532501220703
mps-uncap,1.1,11.873960494995117,13879.751086235046,18450.14786720276
mig,1.1,1773.559808731079,4138.419389724731,1501.2609958648682
mps-uncap,1.2,14.322042465209961,19450.202703475952,24789.17348384857
mig,1.2,6543.1623458862305,6008.524417877197,4652.121543884277
mps-uncap,1.3,16.24608039855957,21831.417083740234,26750.152587890625
mig,1.3,10254.17447090149,10321.590781211853,8363.994002342224
