mode,load,0_efficientnet_b5-2,1_resnet18-32,2_vgg16-4
mps-uncap,0.8,28.026580810546875,10.946872234344486,7.9476165771484375
mps-uncap,0.9,29.24089908599852,9.690499305725098,8.052253723144535
mps-uncap,1.0,30.39975881576538,9.707331657409668,8.08995246887207
mps-uncap,0.5,25.794262886047363,11.360425949096676,7.743272781372071
mps-uncap,0.6,30.136585235595696,10.867691040039062,7.721076011657714
mps-uncap,0.7,26.758201122283918,11.420469284057623,7.8877925872802725
mps-uncap,0.1,35.87031364440918,12.347748279571533,8.681364059448242
mps-uncap,0.2,33.30838918685914,10.926408767700195,7.7599287033081055
mps-uncap,0.3,28.557429313659654,11.21632099151611,7.737600803375244
mps-uncap,0.4,28.11054229736328,11.367413997650146,7.789578437805175
