mode,load,0_resnet50-8,1_vgg16-4,2_vgg19-8
mps-uncap,0.8,21.144628524780273,10.349273681640625,11.705398559570312
mps-uncap,0.9,21.686315536499023,11.028051376342773,11.77358627319336
mps-uncap,1.0,22.01986312866211,11.933326721191406,12.320995330810547
mps-uncap,0.5,19.262075424194336,9.649276733398438,10.327577590942383
mps-uncap,0.6,20.046710968017578,10.005712509155273,10.65683364868164
mps-uncap,0.7,20.756006240844727,10.218620300292969,11.236906051635742
mps-uncap,0.1,11.487483978271484,9.599685668945312,9.879827499389648
mps-uncap,0.2,13.771533966064453,8.954763412475586,9.813308715820312
mps-uncap,0.3,18.505334854125977,9.543418884277344,10.824441909790039
mps-uncap,0.4,18.942594528198242,9.334802627563477,10.597944259643555
