mode,load,0_efficientnet_b5-32,1_mobilenet_v3_small-4,2_resnet34-8
mps-uncap,0.8,46.95749282836914,19.40441131591797,22.215604782104492
mps-uncap,0.9,48.475027084350586,17.581939697265625,22.46570587158203
mps-uncap,1.0,50.13155937194824,20.354032516479492,19.851207733154297
mps-uncap,0.5,44.640541076660156,14.37067985534668,18.93305778503418
mps-uncap,0.6,41.08262062072754,15.161991119384766,19.34194564819336
mps-uncap,0.7,41.72563552856445,18.449783325195312,18.64480972290039
mps-uncap,0.1,51.36585235595703,14.830827713012695,19.887447357177734
mps-uncap,0.2,44.86703872680664,14.472246170043945,20.70927619934082
mps-uncap,0.3,37.79339790344238,15.906095504760742,20.434141159057617
mps-uncap,0.4,40.24553298950195,14.676332473754883,18.49365234375
