mode,load,0_efficientnet_b5-32,1_mobilenet_v3_small-4,2_resnet34-8
mps-uncap,0.8,39.67072010040283,12.865447998046875,16.145732402801517
mps-uncap,0.9,38.76696586608887,11.404998302459717,17.97955989837646
mps-uncap,1.0,38.048152923583984,11.585121154785156,18.222024440765377
mps-uncap,0.5,39.19984102249146,12.427425384521486,16.39127731323242
mps-uncap,0.6,39.29810523986816,12.720270156860352,16.50316715240478
mps-uncap,0.7,40.19470214843751,12.88597583770752,16.330144405364994
mps-uncap,0.1,49.21388626098633,12.731885910034173,17.608699798584038
mps-uncap,0.2,39.714698791503906,12.129478454589844,15.737593173980713
mps-uncap,0.3,36.91787004470825,12.735319137573248,17.504734992980957
mps-uncap,0.4,38.9385986328125,12.389936447143553,16.632614135742188
